
KCNC3
NDUFS3
HACD1
FAM214A
TBCD
AC124312.1
PLAGL2
CD40LG
AC022182.1
USP53
SPOP
PILRA
LTBP1
COX10
SLC16A1
STEAP3
CRYBA4
GRAMD1C
LIMK2
CES1
KLHL42
AZI2
CD79B
IGFL2
ALDH1B1
CRYZ
ST6GALNAC6
PAX5
AC025171.3
KCNJ3
ATF6
FABP4
NFATC2
PKP1
HGF
UBQLN4
KIAA0513
RORA
FYCO1
MFAP4
PREB
CDC25B
CHDH
TRDMT1
SYNJ2
TAL1
PIGF
ABCA10
ADAR
MHENCR
PGAM5
LAMTOR1
TUBA1A
ESR2
CLIC3
GALNT10
WDR45
GAS6
SYP
AL603756.1
MBNL2
RBBP4
DGKZ
TNFSF9
AP1B1
CRTAM
ACSS1
PTRH2
ECHDC2
TNNC2
DNAJB2
CCDC66
SCAI
FEM1A
FCGRT
AC020916.1
IFNG
PGS1
CPS1
ST3GAL5
ACADM
FAM30A
RASAL2
TATDN2
IGF1R
CNTF
WFDC2
ATP5MF
EPSTI1
CD81
KMT2E
ZNF808
H2AFX
NBEAL2
FCGR2A
FAP
PSPH
SLC25A23
CARD6
ATP6AP1
SLC47A2
JAM3
HS3ST1
POLR1C
MFN2
NRXN1
RDH11
MICU1
ALDH7A1
RCC1
IYD
KNTC1
PIN1
VWA3A
RECK
PSMB5
LINC01943
HAL
RNF121
AC098617.1
DSCAM-AS1
KIF20B
HLA-DRA
AC004832.6
RNF187
RICTOR
NSDHL
SLC12A6
MAPT
SCGB3A1
MTERF3
IBSP
UBE2G2
HIVEP2
ATP13A2
RRAGC
PTGES
LRPPRC
AC103702.2
LINC02273
ERN1
IKZF4
JUNB
EPHA1
PILRB
RAB8A
ZNF699
EXTL1
TCN2
IGSF6
CDHR1
NCAM1
ADPRM
ABCA5
KL
HAGH
LINC00623
SESN1
FCRL3
FOXF2
MINDY2
SLC2A11
GMPS
CLTB
LONP2
POLR1D
TRIM68
CCL25
MARCH1
RASSF4
NUDT9
NOSIP
MAFF
CA2
VSTM2L
PRKCG
CD8A
ANTXR2
ELOA
HDC
ACO1
TWSG1
PCDHB3
SLC48A1
HOXC11
MBTD1
KLHL24
STC1
AMT
PEX14
LINC00882
GNB5
KDM3A
RASGRP1
DPM1
PIGS
STARD3
ADCY2
ADORA1
HSH2D
PIGK
COQ8A
HCCS
LIPH
TALDO1
TMEM41B
FN1
WNT6
PDCD1
SLCO1A2
MBIP
SYT11
LINC00299
ST3GAL6
IL1RL1
EXOSC5
FOXS1
SLC24A2
TGFBR2
SLC7A8
ICOS
MRTO4
RTP4
CLEC14A
RAB3B
BCL2L10
HIST1H1B
PRKD1
GPT2
BMPR1A
WASIR2
CDA
PCCB
MAP3K4
SIK1
EBF3
SRXN1
CRABP2
HLA-DQA1
FGFR2
SAMSN1
EBP
EXOSC10
SLC5A1
SH3GLB1
ANPEP
HSD11B1
ZMAT1
ABCD3
FAM162A
MADD
STAG3
RERE
NME6
VCP
OPLAH
